full_text,topic,type
Setelah lama ga pernah ikut event blogger tadi malam akhirnya ada kesempatan juga bareng Blogger Jogja dan ASUS. Mana si mamak ini dapat gopay lagi https://t.co/dvxCaLt0Kr,gopay,pernyataan
@GrabID Kak udah kelamaan kasiannya drivernya :( udah nungguin disana lain kali kasih opsi secepetnya dong kalau ada case kaya gini saya lama banget muter-muter dibantuan grab gakada solusinya malah diputerputer gakbisa ngechat admin,grab,saran-kritik
@neeuzukoo Soalnya kemarin dikasih mutual disini yg keluar kondar biasanya dari yg pernah transaksi isi pulsa dan transfer di ovo atau pake grab,ovo,pernyataan
@alfmaaai @CareIM3 Wah mayan bgt tuhhh impoin im3nya bisa tuker ke gopay apalagi ditanggal tuwa kayak gini ya kak,gopay,pujian
@zennintoji Angkot sih sama gojek/grab sbg main transport,gojek,pernyataan
Grabcar adain lg dong fitur grabcar cewek biar penumpang cewek merasa lebih aman.,grabcar,saran-kritik
buat driver gocar lebih ontime bisa ga sih ngaret mulu nehhh,gocar,saran-kritik
Gopay @gopayindonesia saya isi token udah 1 jam kok masih menunggu aja respon nya. Keburu mati listrik dirumah ini.. Tolong dibantu,gopay,komplain
gw akan minta doa ke abang2 grab besok pagi liat aja,grab,pernyataan
Bapak driver grab nya asik bgt diajak ngobrol perjalanan macet jd ga berasa. Sehat2 terus pak!,grab,pujian
@mionsg adaa ak liat di grab sik,grab,komplain
@f1speed_indo Lama2 gue dukung gojek jg,gojek,pujian
@LambeResing gojek tetap dihati karena yang dihati selalu gojek,gopay,pujian
jir mau beli makan sama gofood males ambil makanannya dah bisa gak abang abangnya naik ke atas,gofood,saran-kritik
@inirakabang sisa bulanann Harian 1u 1 day 4k 3 day 8k 5 day 10k 7 day 12k 14 day 22k ( BULANAN FREE VIU) 1P1U/1P2U 1 bln 35k / 25k 2 bln 65k / 42k 3 bln 100k / 70k 1P1U bisa req pin profile Semi Priv 1 bulan 40k PRIVATE 1 bulan 155k spay gopay qris fast resp WA bio,gopay,pernyataan
@ARSIPAJA Bukan Ironi tapi Sistem kita yg goblok bin tolol. FYI aja temen gue pas kuliah 2018 di PTN ada yg nyambi jadi guru PAUD jadi OB Jadi kang lap kaca Apartment sama kang supir gocar. Emang Pemerintah sok bijak ngomong bakal kasih ini itu. Padahal otak mereka omon2 aja!,gocar,komplain
⊹ᰔ Qris Seabank Blu BCA Digital Line Bank Allo Bank BRI Gopay Dana OVO Shopeepay Admin ramah dan tidak jutek Contact admin : https://t.co/RBDNauweKj Group reseller : https://t.co/OjrHWz6Qdl Open from 07.00 - 21.00 WIB,ovo,pernyataan
verif ovo premier lama bgt butuh cepet pdhl,ovo,saran-kritik
banyak bgt akun yg dm gue dgn mengatasnamakan gopay sorry gaakan ketipu jd percuma lo ngedm gue,gopay,saran-kritik
senin selasa ini masih zonk min kemana orderannya min apa akun non hemat berbayar dikunci atau gimana @GrabID tolong lah akun regulerya diperhatikan karena kewajiban grab modal narik harus dibyr tiap hari @Julo,grab,saran-kritik
@Royhan_Fdllh Jika Kakak ingin menonaktifkan GoPay Tabungan by Jago pastikan sebelum mengajukan penonaktifan akun sudah tidak ada lagi saldo GoPay Tabungan by Jago yang tersisa di akunmu. (1/2),gopay,pertanyaan
Ketinggalan duit di gocar tp driver gabisa dihubungi gmn @gojekindonesia,gocar,komplain
bismillah aku akan puasa gofood,gofood,pernyataan
@dreamers_boy22 Paginya grabfood es krim ongkir 40 rebu,grabfood,komplain
@uzeyya Gopay ak mah,gopay,pujian
"driver grabcar nya nyetirnya alus, ga bikin pusing.",grabcar,pujian
Salut sama driver GoCar nya mobilnya bersih dan wangi. Nyetirnya juga alus banget perjalanan jadi nyaman.,gocar,pujian
@womensfootie_id @PT_Transjakarta Dari Indomilk naik grab aja min ke stasiun Cisauk KRL kan sampe jam 11 masih ada. Perjalanan dari Indomilk ke st Cisauk kisaran 30 menitan harusnya masih keburu.,grab,saran-kritik
️HATI HATI PENIPU TIKET JAKARTA FAIR️ nama akun sebelumnya @kitchenzet rekening yg dipake : Allobank dan OVO an Kia Amanda QRIS CIMB Niaga Ibu Hasanah https://t.co/GbgwZWk28l,ovo,komplain
Menanti Abang gojek sayangku nganterin mam ciang. https://t.co/kNgCqlmwoa,gojek,pernyataan
@dinieyhh @gojekindonesia kak kalau voucher goride dkk itu harus claim sesuai jam yang ditentuin,gojek,pertanyaan
anjing dah bener grabcar gue buru2 sengaja pesan grabcar biar lewat tol eh si anjir drivernya gak mau lewat tol ktnya jalan biasa ga macet kok lewat tol nanti di exit gerbang tol nya macet PAK GUE TIAP HARI LEWAT SANA KAGA ADA MACET2NYA TUH.,grabcar,komplain
pengen gofood sesuatu tapi bingung mo gofood apaaa,gofood,pernyataan
@seterahdeh gojek si kan sekarang ada go-intel trus mintol drivernya stalk dia kenapa,gojek,komplain
Cikgu driving aku dulu ajar nak berhenti blakang kereta biar nampak tayar belakang dia. Tu dah kira distance selamat . Dah bertahun drive ni kadang terlajak sampai nampak number plate. Aku naik grab bukan setakat number plate bonet kereta pun tak nampak.,grab,komplain
@nodbles gojek,gojek,pernyataan
asuransi di grabexpress itu beneran ngecover kalo barang ilang?,grabexpress,pertanyaan
laper akhirnya gofood tapi pas drivernya otw mendadak kenyang ^______^,gofood,pernyataan
@Yorobunz tf 5000 aja byy ke gopay qqqq gwsa byk byk gppa,gopay,pernyataan
@nuteellas eh antar jemput juga bisa kaya gojek gitu?,gojek,pertanyaan
ada yg tau the goods dept? ini totebag yg dulu ku beli 400an skrg jual 50k ajaa. totebagnya GEDEEE muat laptop ipad payung tumbler dll. modelnya lucukkkk dom jakpus bs gosend ya https://t.co/eCL9nvBwIk,gosend,pujian
Adorableprojects diskon up to 50% serba 100 ribu https://t.co/8OEk4V7KpT Tutor belanja Bayar gopay diskon 5 ribu Klaim voucher diskon 20% bawah produk cara motong koin banyak klik &gt; Sepatu Vailey Oxford Matte Nude https://t.co/xKWGew7YlX Marron https://t.co/WV2nPitJz0 https://t.co/NUpv7HBnbs,gopay,pernyataan
@GrabID Selamat sore.... Saya pengguna Grab ada yg membingungkan... Seringkali krn jaraknya dekat saya request _grab bike_ melalui aplikasi resmi Grab... Tetapi dalam proses pemesanan yg keluar _grab car_ bukan grab bike... Apa yg salah ya... Kecewa sih... Apa blh buat...,grabcar,komplain
ga lupa aku add on dipping sauce nya yang cheddar cheese sauce sama truffle mayo ini favv aku kalian kalo lagi bad day suka mam apa gaiss? oiyaa aku belinya disini yaaa⤵️ https://t.co/FKTA0qJuBn,grabfood,pertanyaan
@twunkachu Kaco amat tuh. Btw gue udah kapok naik grab-gojek mobil kek gini. Berkali2 nyoba tetep sama: Kalo duduk di belakang rasanya kayak diayak.,grabcar,komplain
Gangster gak aunty grab ni drive. Melantun lantun aku kat belakang ni woi ,grab,komplain
@levioohsaa Hmmm bagiku beda sii tapi calf salah satu opsi yg enak dan lebih murah dibanding tuku &amp; fore sering ada voucher diskon juga di grab,grab,pujian
@lordperceval63 ih lucu tim gojek bersinarr ga kek tem yg biru itu,gojek,pujian
makasih grab udh kasih voucher nunggu bipol sangat lah gak mungkin https://t.co/c3Sk6tgVXt,grab,pujian
@mkcouver Gopay tu katanya bisa juga ya kak?,gopay,pertanyaan
@duniakecilRun Token kost kamu udah ga bunyi yaa. Grabfood lagi otw yaa. Iya tau kamu bisa tapi biar aku aja yaa. Maaf gandengannya kekencengan takut kamu lepas. ,grabfood,pernyataan
grab di kediri mahal beut jir,grab,komplain
aritu ada orang bagitahu aku kaya eh boleh travel. aku cakap kat dia tak kaya tapi benda boleh saving kot kalau nak travel. sama macam kau nak beli something mesti kau simpan duit kan. unless kau anak orang kaya kau boleh grab je terus.,grab,pernyataan
@userthischa toucan 3k beli 2 jd 5k via spay dan gopay,gopay,pernyataan
Sialan Di Kuala Lumpur Naik Grab Car di charge toll (pas selesai drop gue dan keluarga) Perlu Waspada aja driver yg baik suka ada maksudnya ini driver baik kita dari hotel ke mall bawa koper dia bantuin dari jemput dan anter setelah nurunin koper trus masih sempat blg rate 5 star https://t.co/D86IjWPULI,grabcar,komplain
@YOONDOWOONl jangan memandang dari followers gitu. gweh rl no fek. hana dul set annyeong haseyo IU imnida. tolong kirim ovo 500k ke user @IUjieunt,ovo,pernyataan
@belajarlagiHQ Dulu 2017 gue pegang OVO. Awalnya hanya untuk loyalty points dan semi digital bank. Mau compete sama si jenius. Program nya td utk matmall biar semua integrasi digital. Bikin tvc series dan placement offline di seluruh mall nya lipo. Board nya baik2 semua. So lovely,ovo,pujian
paket gw sampenya cepet & aman. thx grabexpress.,grabexpress,pujian
@ovo_id haloo. Bisa cek dm,ovo,pernyataan
@natasxya Kak kucingku juga cuma karena kupingnya kotor bnget harus ngeluarin 250k mana dia gabisa pake pet cargo alhasil harus GoCar pp ,gocar,komplain
Njing kesel trus dengan kesel gueeeeee mesen gojek. Mau tuh dia ga pilah pilih pelanggan tai tai https://t.co/vLCaw7SrYX,gojek,komplain
gojek grab kalo di solo murah bgt ya tuhannnn gila,grab,pernuataan
@rubahekor2 Bisa cari di grabmart shopee atau toped keywordnya Q RO atau Quro,grab,pernyataan
Vokalis Sahara band barusan mengantar pesanan Grab Foodku. Sehat-sehat mas Ixan. https://t.co/0UgFOivVD8,grabfood,pujian
@unicelounge lewat gopay/KAIaccess bisaa,gopay,pernyataan
halo @ovo_id ini aku gak bisa daftar ovo karna nomor yg aku pake sekarang ini ada nomor recyle dari infosat . jadi nomor ini ada nomor pengguna sebelumnya yg sudah tidak aktif dan direcycle ke saya tapi akun ovonya masih nyangkut di email pengguna sebelumnya ini gimana ya?,ovo,komplain
isi token PLN cuma 10rb udah dapet 20rb gak masuk akal? ya emang diskonnya 50%. langsung ke aplikasi GoPay deh jangan sampe kehabisannnnnn https://t.co/sLftARy0yE,gopay,komplain
tolong dong rating itu bisa buat penumpang jg.,grab,saran-kritik
Kemaren pesen gofood sengaja beli 2 yg satu buat drivernya. Aku bilang yang satu buat masnya aja mas saya lagi ada berkat trs masnya ga ngomong makasih apa gmn gt.. malah cmn hah doang trs pergi. YA HARUSNYA YANG HAH ITU AKU ‍️‍️,gofood,saran-kritik
Bjirr ini gua jam 12 mlm masi dpt gojek ga ya???,gojek,pertanyaan
@TirtoID @nadiemmakarim @MasMenteri @Nadiem_Makarim sudah bener elo jadi boss GO-JEK saja malah jadi kemdikbud.. Harapan nya mencerdaskan pendidikan bangsa malah selama elo menjabat tidak ada gebrakan hanya aplikasi ruang guru pengadaan laptop kurikulum pun ada 3 ..,gojek,saran-kritik
@idkChaca_c0m saatnya gofood,gofood,pernyataan
@kegblgnunfaedh Lumayan lah gojek masih ada ongkos 5 ribu !!!!!,gojek,pernyataan
gw tiap hari ke kantor pasti pake grab si.,grab,pernyataan
